Country,HasMentalHealthSupport
Canada,No
Canada,No
Canada,No
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,No
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United States,No
United States,Yes
United States,Yes
United States,No
United States,Yes
United States,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,No
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,No
United Kingdom,Yes
United Kingdom,No
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,No
Germany,No
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Germany,No
Germany,Yes
Germany,No
Germany,No
Germany,Yes
Germany,No
Germany,Yes
Germany,Yes
Germany,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,No
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,No
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,No
France,Yes
France,No
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,No
France,Yes
France,Yes
France,No
France,Yes
France,No
France,No
France,No
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,No
France,No
France,No
France,No
France,No
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,No
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,No
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,No
France,No
France,Yes
France,Yes
France,No
France,No
France,Yes
France,Yes
France,No
France,No
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,No
France,No
France,No
France,No
France,Yes
France,Yes
France,No
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,No
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,No
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,No
France,No
France,Yes
France,Yes
France,Yes
France,No
France,No
France,No
France,Yes
France,No
France,Yes
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,Yes
France,No
France,Yes
France,Yes
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,Yes
France,No
France,Yes
France,No
France,No
France,No
France,Yes
France,Yes
France,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Netherlands,Yes
Netherlands,No
Netherlands,Yes
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,Yes
Sweden,No
Sweden,No
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,Yes
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,No
Sweden,No
Sweden,Yes
Sweden,No
Sweden,Yes
Sweden,No
Sweden,No
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,No
Sweden,No
Sweden,No
Sweden,Yes
Sweden,Yes
Sweden,Yes
Sweden,No
Sweden,Yes
